==========================================================================================================================
1a  EXACT-DISCRETE COEFFICIENT COMPARATOR -- E5 WEIBULL DESIGN
    A = Efron + Breslow | B = Efron + cloglog profile | C = exact + cloglog profile | D = grouped joint MLE
    D_x = NLL(arm x) - NLL(arm D).  A-B is the baseline, B-C is Efron vs exact, C-D is what remains.
    shrink = slope of mean(beta_hat) on the true beta; 1.000 unbiased, < 1 attenuated.  20 reps per cell.
    true beta = [ 0.7 -0.5  0.3  0.4 -0.6]   exact budget = 8,000,000
==========================================================================================================================
    cloglog family: D_A, D_B, D_C vs the cloglog joint MLE.  logit family: D_Bl, D_Cl vs the LOGIT joint MLE --
    the exact method judged in its own metric, so that B vs C is tie handling and not link choice.
==========================================================================================================================
     shape  cens      n   T  modal  dmax       D_A       D_B       D_C      D_Bl      D_Cl  shrEfron  shrExact   shrGrp  |b|Efr  |b|Exa  |b|Grp  exactC
       1.5   40%    500   8  0.328    86  +0.01489  +0.00034  +0.01340  +0.00804  -0.00008     0.927     1.212    0.987   10.6%   18.3%    7.2%  20/20
       1.5   40%    500  20  0.149    41  +0.01371  -0.00122  +0.00716  -0.00084  +0.00053     0.992     1.103    1.009    2.3%   10.2%    2.8%  20/20
       1.5   40%    500  40  0.083    24  +0.01375  -0.00026  +0.00079  +0.00170  +0.00125     1.006     1.062    1.016    2.0%    6.7%    2.3%  20/20
       1.5   40%   2000   2  0.838   900  +0.11498  +0.00348  +0.05257  +0.03064  -0.00001     0.558     1.215    0.696   45.1%   20.1%   31.6%  20/20
       1.5   40%   2000   4  0.590   634  +0.06669  +0.00105  +0.03577  +0.02184  -0.00002     0.796     1.315    0.925   21.0%   30.6%    8.2%  20/20
       1.5   40%   2000   8  0.326   340  +0.02312  +0.00007  +0.01268  +0.00853  -0.00001     0.927     1.206    0.979    7.3%   20.5%    2.1%  20/20
       1.5   40%   2000  20  0.144   157  +0.00557  -0.00008  +0.00345  +0.00139  -0.00002     0.999     1.113    1.010    1.7%   12.1%    1.9%  20/20
       1.5   40%   2000  40  0.075    82  +0.00108  +0.00001  +0.00049  +0.00098  +0.00002     1.002     1.060    1.007    1.5%    6.0%    1.6%  20/20
       1.5   40%  10000   2  0.838  4528  +0.11571  +0.00425        --  +0.03282        --     0.553        --    0.683   44.5%      --   31.4%  0/20
       1.5   40%  10000   4  0.586  3140  +0.06881  +0.00330        --  +0.02535        --     0.788        --    0.904   21.5%      --    9.9%  0/20
       1.5   40%  10000   8  0.326  1686  +0.02645  +0.00089        --  +0.01086        --     0.932        --    0.982    7.0%      --    1.9%  0/20
       1.5   40%  10000  20  0.142   764  +0.00527  +0.00003  +0.00230  +0.00207  -0.00000     0.982     1.094    0.992    1.8%    9.4%    0.8%  20/20
       1.5   40%  10000  40  0.073   401  +0.00065  +0.00001  +0.00049  +0.00080  +0.00000     0.996     1.053    0.999    0.6%    5.3%    0.6%  20/20

==========================================================================================================================
READING
==========================================================================================================================
  cells: 135   arm C available in 102   infeasible in 33
  mean attenuation where arm C exists:  Efron 0.880   exact 1.236   grouped 0.983
  fraction of the Efron-to-grouped coefficient gap that exact tie handling closes: median 4.25 over 102 cells
  coarse grids only (T <= 4, 36 cells):  Efron 0.709   exact 1.429   grouped 0.938
  arm C predicts worse than arm B in 102/102 cells scored in the CLOGLOG family (confounded with link),
                                and 13/102 cells scored in the LOGIT family (exact's own metric).

  wall time 6399s
  wrote experiments/exact_arm_sim.txt
